time,playingmode,timeout,timeoutenable,continuity,outputprobability,cut,timestretch,regionmaskenable,regionmasklow,regionmaskhigh
46.197071,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.246941,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.297695,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.347225,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.397362,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.449432,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.496971,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.546688,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.597706,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.649101,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.697151,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.746872,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.797020,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.847588,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.897896,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.946625,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
46.998028,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.046967,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.097878,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.148979,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.197021,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.247406,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.297474,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.349922,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.396767,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.447811,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.496574,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.546677,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.599648,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.648499,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.697586,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.747925,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.797508,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.847530,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.897732,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
47.948032,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.004761,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.047737,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.096985,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.149170,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.195869,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.247101,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.298134,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.347645,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.397018,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.447578,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.497723,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.549496,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.598549,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.646576,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.696800,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.747719,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.797474,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.848095,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.896595,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.951115,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
48.997108,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.047016,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.098854,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.147797,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.200283,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.247063,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.299046,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.348190,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.396748,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.447403,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.497375,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.547832,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.597115,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.648209,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.697788,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.746967,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.796562,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.846970,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.897305,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.948853,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
49.998871,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.047104,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.097065,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.147923,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
50.197453,0,2.000000,1,1.500000,1.000000,0,0.500000,1,0.000000,0.223074
