time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
28.950563,41,0.239815,1.033357,0.000000,0.059954,0.000000,1.583356,0.959546,0.000000,0.147622,0.059954,0.959546,1.555641
29.199696,35,0.151943,0.470716,0.000000,0.000000,0.000000,0.990108,0.313810,0.000000,0.078453,0.000000,0.470716,0.987626
29.450998,35,0.080748,0.250158,0.000000,0.000000,0.000000,0.484491,0.186224,0.000000,0.000000,0.000000,0.250158,1.210455
29.648893,35,0.000000,0.098477,0.000000,0.000000,0.000000,0.286087,0.191921,0.000000,0.000000,0.000000,0.098477,1.247485
29.848789,35,0.000000,0.058150,0.000000,0.000000,0.000000,0.168932,0.189429,0.000000,0.000000,0.000000,0.058150,1.231288
30.049667,35,0.000000,0.000000,0.000000,0.055223,0.000000,0.066502,0.220894,0.000000,0.000000,0.000000,0.000000,1.435810
30.248533,35,0.000000,0.000000,0.000000,0.051783,0.000000,0.000000,0.207131,0.000000,0.000000,0.000000,0.000000,1.346352
30.449102,42,0.000000,0.258333,0.000000,0.000000,0.000000,0.000000,1.547068,0.000000,0.000000,0.000000,0.064583,0.795007
30.699799,48,1.555641,0.307786,0.000000,0.239815,0.299769,0.000000,1.610910,0.239815,1.555641,1.555641,0.061958,0.390000
30.948895,45,0.987626,0.148476,0.239815,0.151943,0.151943,0.000000,0.965093,1.587676,0.987626,0.987626,0.000000,0.267215
31.202394,36,1.597231,0.059954,1.707584,0.059954,1.735502,0.000000,0.555439,0.987626,0.484491,1.597231,0.000000,1.555641
31.499741,40,0.945698,1.555641,1.000780,1.555641,2.134812,0.299769,0.295705,0.495995,0.454147,0.945698,1.675549,1.107836
31.749653,39,1.564935,0.987626,0.461533,0.987626,1.294493,1.587676,0.157150,0.395246,0.234043,0.521486,1.063598,0.613349
31.949804,47,1.092435,0.538323,0.272530,0.604938,0.719562,1.102671,0.266461,0.259290,0.089721,0.272530,0.628044,1.913683
32.099266,39,0.716746,0.353194,0.178807,1.547068,0.472105,0.723462,0.174825,0.234703,0.058866,0.178807,0.611527,1.253267
33.798466,33,0.000000,0.062500,0.000000,1.625001,0.250000,0.000000,0.000000,0.062500,0.000000,1.625001,0.250000,0.000000
33.897774,34,0.000000,0.062500,0.075000,1.625000,1.627778,0.300000,0.000000,0.062500,0.075000,1.625000,1.527778,0.300000
35.497868,39,0.000000,0.062500,0.062500,1.625001,1.750001,0.250000,0.000000,0.062500,0.062500,1.625000,1.750001,0.250000
35.749416,29,0.239815,0.000000,0.000000,0.959546,1.033357,1.583356,0.000000,0.000000,0.000000,0.959546,1.033357,0.147622
36.000797,35,0.151943,0.000000,0.000000,0.530669,0.549168,0.990108,0.239815,0.000000,0.000000,0.470716,0.549168,1.555641
36.248398,35,0.080748,0.000000,0.000000,0.250158,0.250158,0.484491,0.151943,0.000000,0.000000,0.250158,0.250158,0.987626
36.448841,35,0.052979,0.000000,0.000000,0.221605,0.164128,0.317874,0.229906,0.000000,0.000000,0.164128,0.164128,1.494389
36.699261,35,0.000000,0.000000,0.000000,0.052335,0.052335,0.152038,0.164583,0.000000,0.000000,0.052335,0.052335,1.069791
36.898678,35,0.000000,0.000000,0.000000,0.050347,0.000000,0.059851,0.201386,0.000000,0.000000,0.000000,0.000000,1.309011
37.099213,35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185289,0.000000,0.000000,0.000000,0.000000,1.204376
