time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
20.997854,88,1.767560,0.223049,0.075000,0.066615,3.096469,1.982778,1.449819,0.251445,0.131982,0.656615,2.175432,2.126692
21.100151,88,1.707413,0.264594,0.052312,0.052106,2.572660,1.546300,1.719863,0.250285,0.059954,0.401638,1.669486,1.639913
21.147945,70,1.752341,0.256486,0.066375,0.062486,2.294607,1.815694,1.667161,0.250127,0.057896,0.346567,1.891544,1.782536
21.298256,88,1.755608,0.248078,0.054675,0.063869,2.143262,1.881619,1.612508,0.249962,0.062486,0.270755,1.667567,1.910530
21.347147,66,1.727400,0.524231,0.075000,0.056797,1.863200,1.637100,2.985281,0.250011,0.054402,0.207588,2.598808,1.694343
21.447237,66,1.912016,0.429925,0.066615,0.000000,1.375208,2.644871,2.794516,0.249997,0.000000,0.133800,2.483851,1.235176
21.548889,83,1.556076,0.364288,0.061281,0.000000,2.522992,2.123628,2.367874,0.202502,0.071759,0.059954,1.984660,1.254084
21.697956,83,1.924904,0.292006,0.062861,0.071759,1.676733,1.768830,2.141637,0.264074,0.052312,0.052106,1.926307,2.603099
21.697956,83,1.924904,0.292006,0.062861,0.071759,1.676733,1.768830,2.141637,0.264074,0.052312,0.052106,1.926307,2.603099
21.748983,29,1.816680,0.191585,0.062571,0.053958,0.828852,1.527778,1.432636,0.252780,0.000000,0.075000,1.784733,1.886697
21.847609,100,1.472454,0.098115,0.062479,0.000000,2.426441,1.731996,0.995335,0.200999,0.000000,0.066615,1.739543,1.662439
21.998384,100,1.124292,0.071526,0.062506,0.071759,1.927760,1.593298,0.952055,0.146528,0.000000,0.061281,1.709065,2.851123
22.097481,72,2.391741,0.052142,0.056253,0.059954,1.705242,1.449819,0.724613,0.406819,0.000000,0.055762,1.523730,2.277961
22.147396,72,2.453776,0.000000,0.000000,0.063313,0.921471,1.548818,0.606669,0.344332,0.000000,0.063638,1.066210,2.172706
22.297569,72,2.190392,0.000000,0.000000,0.000000,2.393327,1.667161,0.295462,0.301891,0.071759,0.064122,0.777267,1.870940
22.498486,72,2.079446,0.000000,0.000000,0.000000,1.322730,1.619448,0.174468,0.250642,0.000000,0.062286,0.423663,1.129529
22.647804,40,1.515265,0.000000,0.064583,0.000000,1.553148,1.625731,0.064373,0.182458,0.061300,0.062528,1.547068,0.693417
22.700125,30,2.563352,0.300000,0.059954,0.000000,2.298633,1.462061,1.527778,0.447791,0.133494,0.056233,1.630641,0.897034
22.847033,93,1.984873,0.304398,0.061958,0.000000,2.135515,0.838145,1.555641,0.306216,0.059954,1.547068,1.670864,0.445078
24.947172,93,0.000000,0.062500,0.000000,0.062500,0.250000,0.000000,0.250000,0.000000,0.000000,1.625000,0.000000,1.625000
25.899841,44,0.062491,0.000000,1.624756,1.749737,0.000000,0.000000,0.062491,0.062491,1.624756,0.414091,0.249962,0.164128
27.797585,52,0.000000,0.000000,1.625000,0.000000,1.625000,0.000000,0.062500,0.000000,0.062500,0.250000,0.000000,0.250000
28.698156,76,0.000000,0.062514,0.325104,0.000000,2.025518,0.000000,0.000000,1.625367,0.062514,1.625367,0.000000,0.312570
29.897665,40,0.250005,0.000000,0.062501,1.625032,1.704787,1.625032,0.000000,0.142256,0.062501,0.142256,1.875037,0.250005
30.647940,88,0.051472,0.249810,0.000000,0.308833,1.932596,0.308833,1.623763,0.000000,0.062452,0.000000,0.422757,0.301282
31.448341,98,0.000000,0.000000,1.625825,1.625825,0.278094,0.000000,0.340626,0.062532,0.000000,0.250127,0.250127,0.000000
